label,connection_id,srtt,rtt,mdev,mdev_max,rttvar,min_rtt,inflight,lost,recv_rtt,retrans_out,total_lost,sack_out,total_retrans,rcv_buf,snd_buf,snd_cwnd,sk_pacing_rate,sk_max_pacing_rate,delivered
fibre,160.217.166.30;43160;5201,2848,21282,512,200000,200003,556,230,0,0,0,2074,0,2074,131072,2854912,231,146506230,18446744073709551615,1590707
fibre,160.217.166.30;43160;5201,2361,20701,331,200000,200003,556,242,0,0,0,2074,0,2074,131072,2854912,249,162354591,18446744073709551615,1598791
fibre,160.217.166.30;43160;5201,2933,23084,271,200000,200003,556,242,0,0,0,2074,0,2074,131072,2854912,267,156119355,18446744073709551615,1606887
fibre,160.217.166.30;43160;5201,2208,17048,361,200000,200003,556,184,0,0,0,2122,0,2122,131072,2854912,203,160723416,18446744073709551615,1615731
fibre,160.217.166.30;43160;5201,2380,18618,349,200000,200003,556,197,0,0,0,2122,0,2122,131072,2854912,228,165294489,18446744073709551615,1623860
fibre,160.217.166.30;43160;5201,2681,21252,271,200000,200003,556,197,0,0,0,2122,0,2122,131072,2854912,241,153064257,18446744073709551615,1631956
fibre,160.217.166.30;43160;5201,2566,22875,327,200000,200003,556,259,0,0,0,2122,0,2122,131072,2854912,260,153415344,18446744073709551615,1640772
fibre,160.217.166.30;43160;5201,2191,16837,376,200000,200003,556,150,0,0,0,2184,0,2184,131072,2854912,195,156324285,18446744073709551615,1648977
fibre,160.217.166.30;43160;5201,2201,17155,379,200000,200003,556,196,0,0,0,2184,0,2184,131072,2854912,210,165228563,18446744073709551615,1657073
fibre,160.217.166.30;43160;5201,2525,21388,377,200000,200003,556,213,0,0,0,2184,0,2184,131072,2854912,234,147673386,18446744073709551615,1665980
fibre,160.217.166.30;43160;5201,2782,20886,516,200000,200003,556,242,0,0,0,2184,0,2184,131072,2854912,253,163501522,18446744073709551615,1674093
fibre,160.217.166.30;43160;5201,2927,23030,383,200000,200003,556,242,0,0,0,2184,0,2184,131072,2854912,271,158829769,18446744073709551615,1682189
fibre,160.217.166.30;43160;5201,1994,16995,279,200000,200003,556,167,0,0,0,2230,0,2230,131072,2854912,206,163607272,18446744073709551615,1690406
fibre,160.217.166.30;43160;5201,2690,20939,288,200000,200003,556,195,0,0,0,2230,0,2230,131072,2854912,230,148261521,18446744073709551615,1699256
fibre,160.217.166.30;43160;5201,2708,21460,295,200000,200003,556,243,0,0,0,2230,0,2230,131072,2854912,249,156612413,18446744073709551615,1707350
fibre,160.217.166.30;43160;5201,2947,23205,360,200000,200003,556,242,0,0,0,2230,0,2230,131072,2854912,262,152396948,18446744073709551615,1715447
fibre,160.217.166.30;43160;5201,2160,17158,334,200000,200003,556,196,0,0,0,2276,0,2276,131072,2854912,203,159693017,18446744073709551615,1724371
fibre,160.217.166.30;43160;5201,2495,19148,401,200000,200003,556,195,0,0,0,2276,0,2276,131072,2854912,225,158604554,18446744073709551615,1732468
fibre,160.217.166.30;43160;5201,2575,21673,504,200000,200003,556,213,0,0,0,2276,0,2276,131072,2854912,245,152582106,18446744073709551615,1741282
fibre,160.217.166.30;43160;5201,2036,15961,455,200000,200003,556,151,0,0,0,2286,0,2286,131072,2854912,181,153064695,18446744073709551615,1749440
fibre,160.217.166.30;43160;5201,2228,16999,485,200000,200003,556,184,0,0,0,2286,0,2286,131072,2854912,207,164362797,18446744073709551615,1757641
fibre,160.217.166.30;43160;5201,2399,19141,260,200000,200003,556,195,0,0,0,2286,0,2286,131072,2854912,223,157252222,18446744073709551615,1765726
fibre,160.217.166.30;43160;5201,2751,21453,283,200000,200003,556,197,0,0,0,2286,0,2286,131072,2854912,242,152259320,18446744073709551615,1774556
fibre,160.217.166.30;43160;5201,2985,23302,335,200000,200003,556,242,0,0,0,2286,0,2286,131072,2854912,261,151183314,18446744073709551615,1782653
fibre,160.217.166.30;43160;5201,2213,17099,375,200000,200003,556,196,0,0,0,2302,0,2302,131072,2854912,201,158665278,18446744073709551615,1790841
fibre,160.217.166.30;43160;5201,2461,18976,422,200000,200003,556,184,0,0,0,2302,0,2302,131072,2854912,219,155774367,18446744073709551615,1799685
fibre,160.217.166.30;43160;5201,2643,21005,300,200000,200003,556,196,0,0,0,2302,0,2302,131072,2854912,241,154864156,18446744073709551615,1807769
fibre,160.217.166.30;43160;5201,1853,14326,462,200000,200003,556,149,0,0,0,2356,0,2356,131072,2854912,180,169591511,18446744073709551615,1815866
fibre,160.217.166.30;43160;5201,2196,17016,421,200000,200003,556,196,0,0,0,2356,0,2356,131072,2854912,209,165785049,18446744073709551615,1823961
fibre,160.217.166.30;43160;5201,2400,18673,397,200000,200003,556,196,0,0,0,2356,0,2356,131072,2854912,226,163361945,18446744073709551615,1832011
fibre,160.217.166.30;43160;5201,2806,21328,517,200000,200003,556,242,0,0,0,2356,0,2356,131072,2854912,242,153151687,18446744073709551615,1840843
